season,week,home_team,away_team,home_conference,away_conference,home_score,away_score,spread,over_under,home_moneyline,away_moneyline,actual_margin,total_points,home_covered,over_hit,spread_error,spread_group
2020,8,Rice,Middle Tennessee,Conference USA,Conference USA,34,40,-3.5,48.0,,,-6,74,False,True,-2.5,Small Home Favorite
2020,12,UCF,Cincinnati,American Athletic,American Athletic,33,36,4.5,65.5,,,-3,69,False,True,-7.5,Small Home Underdog
2020,12,Coastal Carolina,App State,Sun Belt,Sun Belt,34,23,-3.0,48.5,,,11,57,True,True,14.0,Small Home Favorite
2020,13,South Florida,UCF,American Athletic,American Athletic,46,58,25.0,70.5,,,-12,104,False,True,-37.0,Big Home Underdog
2020,12,Iowa State,Kansas State,Big 12,Big 12,45,0,-13.5,48.0,,,45,45,True,False,58.5,Small Home Favorite
2020,8,Western Kentucky,Chattanooga,Conference USA,Southern,13,10,-14.0,53.5,,,3,23,True,False,17.0,Big Home Favorite
2020,12,Troy,Middle Tennessee,Sun Belt,Conference USA,17,20,-11.0,60.5,,,-3,37,True,False,8.0,Small Home Favorite
2020,13,North Carolina,Notre Dame,ACC,FBS Independents,17,31,4.5,69.5,,,-14,48,False,False,-18.5,Small Home Underdog
2020,12,Temple,East Carolina,American Athletic,American Athletic,3,28,7.0,53.0,,,-25,31,False,False,-32.0,Small Home Underdog
2020,1,UAB,Central Arkansas,Conference USA,Southland,45,35,-21.0,49.5,,,10,80,True,True,31.0,Big Home Favorite
2020,2,Oklahoma,Missouri State,Big 12,MVFC,48,0,-50.5,72.0,,,48,48,True,False,98.5,Big Home Favorite
2020,9,Wyoming,Hawai'i,Mountain West,Mountain West,31,7,3.0,60.0,,,24,38,True,False,21.0,Small Home Underdog
2020,9,Air Force,Boise State,Mountain West,Mountain West,30,49,13.5,49.0,,,-19,79,False,True,-32.5,Small Home Underdog
2020,9,Utah State,San Diego State,Mountain West,Mountain West,7,38,9.0,40.5,,,-31,45,False,True,-40.0,Small Home Underdog
2020,9,UNLV,Nevada,Mountain West,Mountain West,19,37,13.5,59.5,,,-18,56,False,False,-31.5,Small Home Underdog
2020,11,Washington,Oregon State,Pac-12,Pac-12,27,21,-13.5,51.0,,,6,48,True,False,19.5,Small Home Favorite
2020,9,Alabama,Mississippi State,SEC,SEC,41,0,-29.5,63.5,,,41,41,True,False,70.5,Big Home Favorite
2020,9,Oklahoma State,Texas,Big 12,Big 12,34,41,-3.5,58.5,,,-7,75,False,True,-3.5,Small Home Favorite
2020,9,Florida,Missouri,SEC,SEC,41,17,-13.5,63.5,,,24,58,True,False,37.5,Small Home Favorite
2020,9,Virginia,North Carolina,ACC,ACC,44,41,7.5,61.0,,,3,85,False,True,-4.5,Small Home Underdog
2020,9,SMU,Navy,American Athletic,American Athletic,51,37,-13.0,58.5,,,14,88,True,True,27.0,Small Home Favorite
2020,9,Kansas,Iowa State,Big 12,Big 12,22,52,27.5,49.5,,,-30,74,False,True,-57.5,Big Home Underdog
2020,9,Vanderbilt,Ole Miss,SEC,SEC,21,54,17.0,63.5,,,-33,75,False,True,-50.0,Big Home Underdog
2020,9,Clemson,Boston College,ACC,ACC,34,28,-26.5,56.0,,,6,62,True,True,32.5,Big Home Favorite
2020,9,Georgia Tech,Notre Dame,ACC,FBS Independents,13,31,20.5,58.5,,,-18,44,False,False,-38.5,Big Home Underdog
2020,9,Texas A&M,Arkansas,SEC,SEC,42,31,-14.5,54.5,,,11,73,True,True,25.5,Big Home Favorite
2020,9,West Virginia,Kansas State,Big 12,Big 12,37,10,-5.0,46.0,,,27,47,True,True,32.0,Small Home Favorite
2020,9,Texas Tech,Oklahoma,Big 12,Big 12,28,62,16.0,66.5,,,-34,90,False,True,-50.0,Big Home Underdog
2020,9,Tulane,Temple,American Athletic,American Athletic,38,3,-7.0,58.5,,,35,41,True,False,42.0,Small Home Favorite
2020,9,Houston,UCF,American Athletic,American Athletic,21,44,3.0,81.5,,,-23,65,False,False,-26.0,Small Home Underdog
2020,9,Arkansas State,Troy,Sun Belt,Sun Belt,10,38,-3.5,69.5,,,-28,48,False,False,-24.5,Small Home Favorite
